,order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,first_name,last_name,phone,email,street,city,state,zip_code,item_id,product_id,quantity,list_price,discount
0,1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,1,20,1,599.99,0.2
1,1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,2,8,2,1799.99,0.07
2,1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,3,10,2,1549.0,0.05
3,1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,4,16,2,599.99,0.05
4,1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,Johnathan,Velazquez,,johnathan.velazquez@hotmail.com,9680 E. Somerset Street ,Pleasanton,CA,94566,5,4,1,2899.99,0.2
5,2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Jaqueline,Cummings,,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,1,20,1,599.99,0.07
6,2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,Jaqueline,Cummings,,jaqueline.cummings@hotmail.com,478 Wrangler St. ,Huntington Station,NY,11746,2,16,2,599.99,0.05
7,3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Joshua,Robertson,,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,1,3,1,999.99,0.05
8,3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,Joshua,Robertson,,joshua.robertson@gmail.com,81 Campfire Court ,Patchogue,NY,11772,2,20,1,599.99,0.05
9,4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,Nova,Hess,,nova.hess@msn.com,773 South Lafayette St. ,Duarte,CA,91010,1,2,2,749.99,0.1
10,5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,Arla,Ellis,,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,1,10,2,1549.0,0.05
11,5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,Arla,Ellis,,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,2,17,1,429.0,0.07
12,5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,Arla,Ellis,,arla.ellis@yahoo.com,127 Crescent Ave. ,Utica,NY,13501,3,26,1,599.99,0.07
13,6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Sharyn,Hopkins,,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,1,18,1,449.0,0.07
14,6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Sharyn,Hopkins,,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,2,12,2,549.99,0.05
15,6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Sharyn,Hopkins,,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,3,20,1,599.99,0.1
16,6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Sharyn,Hopkins,,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,4,3,2,999.99,0.07
17,6,94,4,2016-01-04,2016-01-07,2016-01-05,2,6,Sharyn,Hopkins,,sharyn.hopkins@hotmail.com,4 South Temple Ave. ,Baldwinsville,NY,13027,5,9,2,2999.99,0.07
18,7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,Laureen,Paul,,laureen.paul@yahoo.com,617 Squaw Creek Rd. ,Bellmore,NY,11710,1,15,1,529.99,0.07
19,7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,Laureen,Paul,,laureen.paul@yahoo.com,617 Squaw Creek Rd. ,Bellmore,NY,11710,2,3,1,999.99,0.1
20,7,324,4,2016-01-04,2016-01-07,2016-01-05,2,6,Laureen,Paul,,laureen.paul@yahoo.com,617 Squaw Creek Rd. ,Bellmore,NY,11710,3,17,2,429.0,0.1
21,8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7,Leslie,Higgins,,leslie.higgins@hotmail.com,805 Logan Ave. ,Saratoga Springs,NY,12866,1,22,1,269.99,0.05
22,8,1204,4,2016-01-04,2016-01-05,2016-01-05,2,7,Leslie,Higgins,,leslie.higgins@hotmail.com,805 Logan Ave. ,Saratoga Springs,NY,12866,2,20,2,599.99,0.07
23,9,60,4,2016-01-05,2016-01-08,2016-01-08,1,2,Neil,Mccall,,neil.mccall@gmail.com,7476 Oakland Dr. ,San Carlos,CA,94070,1,7,2,3999.99,0.1
